Company_Name,Link_Company,Booth_Number,Link_Booth,About the Company,Company's Categories,Digital Press Releases
Dark Energy,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=357,43004,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1188,"Dark Energy makes nearly indestructible power products for outdoor, military, and tactical use. Built in the rocky mountains by passionate outdoorsmen who required power products that would survive the rugged lifestyles and harsh conditions of the backcountry. Dark Energy was founded upon the ideal that durability and strength should be a standard, not a rarity.", Law Enforcement Products/Services Camping Communications/Electronics/GPS Hunting Gear/Accessories,
Dark Storm Industries,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=358,11464,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1634,Dark Storm Industries is a leading manufacturer of premium AR-style firearms and firearm parts. Dark Storm rifles are available in multiple configurations to meet the needs of all 50 states. DSI firearms and firearm parts are 100% American-made and backed by a transferable lifetime warranty., Firearms Firearm Barrels/Parts/Gunsmithing Treestands,
Darmok Designs,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3624,52434,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=253,"We offer engineering automation, complex trouble-shooting in existing designs, and turn-key solutions that are ready to implement. We have our own manufacturing arm and can both create a custom product and provide fulfillment. We specialize in small milled-metal components like extractors, gas blocks, main spring housings and many other essential items.", Machining Services Fabrication,
Darn Tough Vermont,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=359,31003,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2045,"Darn Tough Vermont is First on Foot! We offer the largest collection of premium, all-weather performance socks in the industry. Darn Tough socks are knit with fine-gauge merino wool that is moisture-wicking, quick drying, and odor resistant. Whatever your uniform requirement, whatever your mission, we have plenty of tactical styles to choose from. Other style categories include hunt, work, hike, ski, lifestyle, run; and athletic. Ultra-comfortable, ultra-durable, Guaranteed for Life; and still made in Vermont, USA."," Firearms Hearing Protection Apparel, Women's Apparel, Men's",
DASCO Storage Solutions,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3637,40510,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=646,, Firearm Cabinets/Racks/Safes Firearm Cases Firearm Locks,
Data Age Business Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3456,41456,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=857,"Data Age Business Systems is a 35+ year developer of point-of-sale software solutions for the pawn, buy/sell/trade, and firearm industries. Our software platforms include PawnMaster, the most trusted software in the pawn industry, and Buy/Sell Plus, a robust and versatile POS platform. Both solutions are available in on-premises or cloud versions and offer compliance in all 50 states and several countries. Data Age supports its software with an in-house support team based in Clearwater, Florida, and is constantly evolving with new ways for our customers to generate increased revenue.", Recoil Protection Devices/Services Communications/Electronics/GPS Media/Publication,
Datanomix,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2381,52218,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=163,,,
Davidson's,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=362,72317,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2278,"Founded in 1932, Davidson’s has grown into one of America's leading shooting sports wholesalers. With locations in Prescott, Arizona and Greensboro, North Carolina, we proudly distribute the world’s top brands of firearms, ammunition, optics, shooting accessories and knives to dealers nationwide. Our company’s GuaranteeD Lifetime Replacement Program and its consumer website, www.galleryofguns.com, are two of its unique services designed to help promote the businesses of its dealers.", Firearm Grips/Stocks Shooting Range Equipment Retailer Services Ammunition Cutlery/Sharpeners/Knives/Accessories Treestands,
DayGlo Color Corp.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3323,52131,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=135,"Day-Glo Color Corp. is the world’s largest manufacturer of daylight fluorescent pigments. We develop technologies that improve and enhance any color, from subtle specialty effects, to glow-in-the-dark pigments, to our classic range of fluorescents. DayGlo fluorescent pigments and paints are used across the firearms industry to illuminate and provide unrivaled visibility to clay pigeons, targets (target coatings), munitions, ammunition marking, sites indicators, and various other applications.", Fabrication OE materials Packaging,
Dayren Technologies,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3614,52535,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=289,"Dayren Technologies is a supplier of high precision metal and polymer components to the defense and shooting sports industry. With manufacturing facilities in North America, India and Europe, Dayren Technologies provides unparalleled speed, quality and value to its customers.", Fabrication Machining Plastics,
Dayton Lamina,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1838,51108,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=302,"DAYTON LAMINA™ is the world-wide industry leader in the production of catalog and special punches, die components, die details, punch blanks and metalstamping tools. Our full line of tooling includes everything in your bill of materials, punches, die buttons, pins & bushings, wear and guide components, die springs, cams, die details, punch retainers and more.", Stamping MachiningSupplier,
Dayton Rogers Manufacturing Co.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1839,52142,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=146,"Dayton Rogers Manufacturing Co. has 90+ years of experience in supplying all your metalforming and metal stamping needs. With four locations to serve you, Dayton Rogers is your industry leader in the defense and firearm industry. Our services include: stamping: progressive, modular, deep draw • fabrication laser, turret, brake press • welding robotic, arc, mig, tig, spot • CNC machining • assemblies. We also offer secondary services to create solutions integral for your success. Certifications: ISO 9001:2015, AS 9100:2016, ITAR, MIL-I-4520.", Software Fabrication MachinerySupplier,
"Dayton T. Brown, Inc.",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1840,51813,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=28,"Established in 1950, Dayton T. Brown, Inc. is an A2LA accredited independent ballistics testing laboratory for testing small firearms, ammunition, and transparent armor. Supporting MIL Standard and TOP 3-2-045 specifications, we have a 100-meter indoor shooting range to support ammunition and component testing, Our test equipment meets SAAMI specifications and we offer environmental and dynamic testing including NDT inspections, dimensional and metallurgical testing, product improvement, and engineering evaluations.", Services,
DC Machine,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1841,52107,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=115,,,
DDT,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=364,32012,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2078,"We are a US Marine Corps Veteran owned and operated manufacturer of tactical rifle bags, range bags, backpacks, vests, and more. We offer competitive pricing with great margins and dealer friendly programs. All of our items are covered by our lifetime warranty against manufacturing defects.", Bags/Packs & Equipment Firearm Cases Hunting Gear/Accessories Law Enforcement Products/Services,
DDupleks USA,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=365,42037,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=974,,,
Dead Air Silencers,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1713,75417,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2369,"Dead Air Silencers was founded by silencer veterans in 2014, and has been a leading innovator in the suppressor industry ever since. Staying true to its mission statement “No Quarter,”; Dead Air focuses on bringing the best materials, designers and manufacturing techniques to the market. This “Never Settle” attitude has led to some of the most sought-after products and accessories to date.", Firearms Hearing Protection Firearm Barrels/Parts/Gunsmithing,
Dead Eye Designs,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1283,70639,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2189,"Dead Eye Designs (DED) is a premium lifestyle and technical apparel brand for the MARKSMAN. We design and manufacture products inspired by practical and tactical shooting for our fellow gun owners and enthusiasts. Our primary product: Custom Performance Apparel. We offer full customization (design) and manufacturing of custom performance apparel such as shooting jerseys, soft shell jackets, hoodies, compression shirts and more. Our products are worn by some of the world's top shooters and gun clubs in Europe and have shipped to over 50 countries."," Apparel, Men's Apparel, Women's Association/Agencies/Wildlife Mgmt. Firearm Barrels/Parts/Gunsmithing",
"Dead Foot Arms, LLC",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=366,20553,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1999,"The Kings of Compact. Dead Foot Arms LLC designs, develops and manufactures innovative firearm accessories for demanding applications in the commercial, law enforcement and defense markets. We are a disabled veteran–owned and operated small business. Products include the MCS Folding Stock Adaptor, SCW Tailhook Brace and Stock System, DFA Underfolder, MP9, and products in collaboration with FoldAR.", Custom Manufacturing Firearm Grips/Stocks Wholesaler/Distributor Hunting Gear/Accessories Law Enforcement Products/Services Shooting Range Equipment,
Dead Nuts Manufacturing,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=367,42555,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1079,, Ammunition Custom Manufacturing Wholesaler/Distributor,DEADNUTSAMMO.COM 2024 SHOT SHOW
Decalcomania,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3895,80527,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2665,"We are a decal company that makes Patriotic, Military, Hunting and Fishing decals.", Plastics Custom Manufacturing,
Decibullz,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=369,75218,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2361,"Decibullz Custom Fit Earplugs and Earpieces provide top-quality hearing protection for all customers. The patented, do-it-yourself earpieces are quickly and easily shaped by the user using hot water. The custom-molded design ensures a comfortable, secure fit with top-quality noise isolation.", Hearing Protection Law Enforcement Products/Services Hunting Gear/AccessoriesSHOT,
Decot HyWyd Sports Glasses,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2731,42212,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1026,"Since 1949, Decot Hy-Wyd Sport Glasses has been setting the standards for sports eyewear. Decot’s unique frame is constructed of high-quality spring metal and is set behind the interchangeable lenses, eliminating smudging and fogging around the forehead and nasal area. Decot Hy-Wyd glasses are made for all non-contact sports that require accurate sports vision, including clay target shooting sports, rifle and pistol shooting, archery, hunting, fishing, billiards, and even golf. Choose from four styles of frames and over 40 different lens tints.", Eyewear,
Deekon Group,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3348,42963,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1186,"Deekon Group Co., Ltd, has been researching and manufacturing bullet proof and ballistic material since 2008. We are a fully vertically integrated manufacturer converting the raw fibre into bullet and fragmentation resistant material and so have great flexibility and expertise producing a wide range of body armor, ballistic helmets, vehicle protective plates and armor plate inserts.",,
Defcon Tactical,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=370,43107,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1217,"Defcon is a manufacturer with decades of combined blade knowledge. We design knives but also have collaborations with custom knife makers, law enforcement, and blade experts. Defcon was created to allow us to show the world our knife designs.", Crossbows & Accessories Hunting Gear/Accessories Camping Treestands,
DEFILADE Protection Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3994,62605,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1470,," Law Enforcement Products/Services Training and Safety Equipment Apparel, Men's Apparel, Women's",
Deko Safaris,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3829,74324,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2977,"Deko Safaris is a hunting organization based in South Africa focused on top quality trophy hunting, photographic safaris as well as offering a world class experience.

Deko Safaris is landscape is defined by mountains in the northeast as well as bushveld scattered with trees and shrubs.
At Deko Safaris we offer top class tailored hunting and photographic safaris. Come and experience Africa at its finest where you will come as a client and leave as a lifelong safari friend.",,
Del-Ton Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=372,20331,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1956,"Here at Del-Ton, we use our resources to build a more solid rifle at a more affordable price than the competition. But that’s not all. Because every customer has a style of their own, we offer everything you need to customize your rifle to fit your personal taste. Because owning a rifle is more than a hobby, it’s a way of life", Firearm Grips/Stocks,
Delcam Manufacturing,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3478,51207,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=337,"Delcam Manufacturing is a family of plastic and metal manufacturing companies that serves the medical device & industrial-focused industries. Delcam features plastic machining and molding solutions, along with sheet metal applications as well. Their flexibility allows for both low & high-volume order sizes. Based in the Northeast region of the United States, Delcam has become a proficient resource to companies facing production downtime throughout these uncertain supply chain conditions. By expanding their footprint and continuing to add automation resources to their capabilities, Delcam has", Fabrication Metals Plastics,
Demko Knives,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3285,41351,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=834,"We manufacture cutlery, in particular pocket knives and fixed blades. We have an American made line made in house and an imported line made in Taiwan.",,
Deqing Fox Armour Co.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3260,40853,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=715,,,
Derong (Guangzhou) Outdoor Co. Ltd.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=124,42029,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=971,"We have been the professional manufacturer of Co2 cartridge and Steel Shots for 20 years. Mainly products are 12g CO2 cartridge, 4.5mm Steel BBS for air pistol /rifles, Shot shell Steel Shot for cartridge.green gas...", Metal extrusions Airgun/Airsoft Products AmmunitionSHOT,
DERYA,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=375,13827,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2722,,,
DeSantis Gunhide,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=376,10967,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1595,, Holsters Hunting Gear/Accessories Leathergoods Law Enforcement Products/Services,
Desert Tech,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=377,72831,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2318,,,
Detroit Gun Works,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2776,75723,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2392,"To the experience-driven, discerning shooters, Detroit Gun Works is the precision rifle builder that empowers customers to virtually configure and take delivery of their own unique, fully assembled rifle, backed by a transferable lifetime product guarantee. Detroit Gun Works Bolt Action Receiver is developed from our rich history of supplying precision multi-axis components to the defense industry. We value our customer and supplier relationships and are a company committed to the people that rely on us. Please stop by our booth, we’d love to show you what Detroit Gun Works has to offer.", Firearms,
DFM Arms,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2471,52439,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=258,,,
DFNDR Armor,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=378,61605,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1434,"We innovate and produce advanced lightweight body armor for the U.S. military, law enforcement and offer this cutting-edge technology to U.S. civilians. With two generations of trade secrets, meticulous engineering and proprietary processing technology, we innovated the lightest weight armor with the least trauma to the body in the industry. Proudly developed and manufactured in the USA.", Law Enforcement Products/Services Custom Manufacturing Bags/Packs & Equipment Hunting Gear/Accessories,
DI Optical USA Inc,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=379,60103,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1482,,,
DIA Safe,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3130,41453,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=854,,,
Diamondback,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2261,75120,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2355,"At Diamondback, we believe everyone should be able to reach for reliability in moments that count. That’s why we offer our high-quality firearms that are vetted by the everyday shooter, battle-tested operators, and entrusted police officers at a price point that meets the American blue-collar worker’s budget. Our firearms come with a promise of quality we stand behind. That’s the Diamondback way; that’s the American way.", Firearms,
Diamondback Industrial Finishes,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3650,51242,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=368,"Diamondback Industrial Finishes provides high-quality coatings and finishes for industrial applications. Specializing in surface preparation, powder coat, Cerakote, type II and type III anodize, and paint, Diamondback takes a customer-centric approach to every project. Our unwavering commitment to quality, innovation, and client satisfaction makes us the go-to choice for those seeking durability, vibrant aesthetics, and superior protection in every coating application. Contact us today to discuss your coating project and see for yourself how we can take your project to the next level.", Finishing,
Dickinson Arms LLC,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=381,71105,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2251,"We are an importer of high-grade, double-barrel, semi-auto and pump shotguns.", Firearm Grips/Stocks,
Die-Namic,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1845,51803,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=18,"The largest full service tooling supplier in all areas of ammunition manufacturing and associated industries. From raw material feed systems, cupping, blanking and forming tools for casings and bullets, to assembly tooling, priming, packaging, head marking tools. Die-Namic has also aided in the initial tool up and retrofitting of headers and presses, to custom small machine building. By being the largest supplier in the industry, we bring a wealth of knowledge, experience and customer service that adds value and sustainability to the ammunition industry leaders.", Stamping Machinery Fabrication Plastics,
"DiFruscia Industries, Inc.",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1846,52529,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=283,"DFI offers a full range of high technology coating services, including Anodize, Hardcoat, PTFE Impregnation, Powdercoating, Chromate, and other coatings. DFI is constantly researching and developing new coating technologies to meet your needs. Our process techniques can greatly improve the overall characteristics of your important, often critical parts when it comes to increasing wear resistance, lubricity, dielectric properties, heat dissipation, corrosion resistance, bonding, and aesthetics.", Finishing,
Dillon Aero Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=384,75607,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2382,"The Dillon M134D-H Gatling Gun, more commonly referred to as the “Minigun,” was accepted into service with the U.S. Army Special Operations Command in 2003. With over 6,000 weapon systems fielded worldwide, it is known for its unwavering performance and reliability. We provide a full line of weapon mounts for the M134, M2, MK19, M240, M60, M249 and PKM for nearly all air, land and sea applications. Installation, training and 24/7 support provided with each sale.", Firearm Grips/Stocks,
Dillon Precision Products Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=385,10948,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1591,,,
Dimension-Polyant,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1847,51441,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=444,"Dimension-Polyant’s line of Tactical X-Pac™ fabric is a direct descendant of DP’s sailcloth innovations allowing the company to produce highly specialized technical fabrics. DP utilizes much of the same technologies including strategic lightweight Kevlar fiber reinforcements, high tensile strength, superior tear resistance, and dimensional stability. X-Pac™’s unique laminated construction results in an inherently waterproof fabric. Fabrics are laminated in Connecticut, USA, are Berry Compliant, and are available in Multicam branded Patterns and other complementary tactical colors.", Fabrics Plastics,
"DIP, Inc.",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=386,14552,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1826,"We are a modern rimfire parts specialists for Savage, Marlin, Ruger, SAKO, Tikka, Henry, Steyr, CZ, Mossberg, Remington and Anschutz. We offer CNC-machined aluminum replacement parts for OEM plastic rimfire parts, such as trigger guards, magazine wells, magazine bases, along with a wide selection of one-piece Picatinny scope mounts. We also offer replacement triggers, charging handles, bolt shrouds, trigger shoes, bolt knobs, muzzle compensators, Boyd’s gunstocks and more. Dealer inquiries are welcome.", Game Calls Fabrication Machinery Plastics,
Directex,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3300,51812,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=27,,,
Discreet Ballistics,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3934,14349,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1806,Discreet Ballistics is an innovative ammunition manufacturer that specializes in the design and development of subsonic and supersonic hunting ammunition., Ammunition Hearing Protection Reloading,
Diverse Optics Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1848,52323,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=206,"We know that your optics are as unique as you are. With our help, you can reduce cost, trim weight, simplify design, and improve the performance of your optics. For over 30 years, we've been manufacturing the most challenging polymer optic components and assemblies for leading defense, medical, and commercial applications with advanced technology and an experienced team of professionals. With our knowledge of injection molding and diamond turning, we’ll show you how polymer optics are perfected.", Plastics Fabrication Machining,
Diversified Transportation Services,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=387,40728,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=690,"As a top-tier freight logistics company, we have been delivering cost-effective supply chain solutions since 1990. Our primary focus as a 3PL provider is to provide our clients with concierge customer service at extremely competitive prices and to help you to reduce your admin transportation costs. We service LTL, Truckload, Volume, Trade Show, Expedited, Flatbed, International Air, and Ocean Freight. Don't hesitate to get in touch with sales@dtsone.com for any of your shipping needs. (310) 521-1200 www.dtsone.com", Logistics,
Diversitex Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1849,52409,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=232,"Diversitex is proud to announce an official partnership with Carolina Performance Fabrics to distribute Endurance brand, premium grade laser laminates in the USA & Canada. Endurance brand laser-laminates are engineered with high tenacity nylon 6,6 multi-filament fiber that is solution dyed, locking  the color in at the molten polymer extrusion level. CORDURA® TrueLock™
TrueLock™ fabric has excellent color fastness, UV-fade/abrasion  resistance, extended UV strength stability, and long-lasting color vibrancy. 

Nemesis Camo is now avaialbel on 500D,1000D and NYCO Extreme Ripstop.", Fabrics,
Dixie Gun Works Inc.,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=388,14249,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1799,"We offer replica muzzle loading and cartridge firearms and accessories, antique guns and parts, muzzle loading and black powder cartridge shooting supplies, related books, period clothing, uniforms, cutlery and accessories.", Binoculars/Telescopes Firearm Grips/Stocks,
DKC,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=389,70753,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2208,,,
DLG Tactical,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1093,41811,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=926,"Over 30 years of molding and plastic injection expertise makes DLG Tactical a domestic powerhouse in the production of polymer firearms accessories. We are proud of our design team focusing on user friendly, elegant and sturdy gears. On top of that, our fully integrated manufacturing facility (in-house R&D, molding and injection) gives us the edge on flexibility, agility, and total control of the entire production process. Our company motto is to continuously challenge ourselves for better products. We will also be glad to work with you on your projects. Hoping to do business with you now.", Airgun/Airsoft Products Firearms Custom Manufacturing Firearm Barrels/Parts/Gunsmithing Firearm Grips/Stocks Hunting Gear/Accessories,
DMT Sharpeners/First Aid Only,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=26,13660,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1756,,,
